skill_uri,skill_label,russian,skill_category
http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,perform online data analysis,выполнение онлайн-анализа данных,skill/competence
http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,manage IT security compliances,управление соблюдением требований IT-безопасности,skill/competence
http://data.europa.eu/esco/skill/06f33d6a-f7a7-4a2b-baa5-8c3c53bd1a9c,keywords in digital content,ключевые слова в цифровом контенте,knowledge
http://data.europa.eu/esco/skill/071233c4-ad2b-4f50-b79f-768d2231163e,domain name service,услуги по регистрации доменных имен,knowledge
http://data.europa.eu/esco/skill/071c361c-9366-455b-9bcf-4bd1415e037d,mark film reels,маркировка кинолент,skill/competence
http://data.europa.eu/esco/skill/0737ad0a-75ac-4696-988b-565820577ac0,use experience map,использование карты опыта,skill/competence
http://data.europa.eu/esco/skill/0760bfac-9a03-427a-ad84-ccd33a2f2ae8,mathematical modelling,математическое моделирование,knowledge
http://data.europa.eu/esco/skill/07884056-a07a-40b7-bba3-1ceed61f529c,blockchain signature schemes,схемы подписи блокчейна,knowledge
http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,normalise data,нормализовать данные,skill/competence
http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,create prototype of user experience solutions,создавать прототипы решений для пользовательского опыта,skill/competence
http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,apply system organisational policies,применять системные организационные политики,skill/competence
http://data.europa.eu/esco/skill/07e51c60-763a-4335-b4ec-70a15f66d328,propose ICT solutions to business problems,предлагать ИКТ-решения для бизнес-проблем,skill/competence
http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f,computer simulation,компьютерное моделирование,knowledge
http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c,cooperate with colleagues,сотрудничать с коллегами,skill/competence
http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,administer ICT system,управлять системой ИКТ,skill/competence
http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d,ensure compliance with environmental legislation,обеспечивать соблюдение экологического законодательства,skill/competence
http://data.europa.eu/esco/skill/08a3dcea-12de-447b-a3a5-aa657abc5e97,execute social engineering tests,выполнять тесты по социальной инженерии,skill/competence
http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,manage research data,управлять исследовательскими данными,skill/competence
http://data.europa.eu/esco/skill/08fe5910-8c4c-4679-a988-eb2ded3c4909,labour legislation,трудовое законодательство,knowledge
http://data.europa.eu/esco/skill/09cf2c34-6f93-4a19-a9f1-c0d866414bcc,Cain and Abel (penetration testing tool),Каин и Авель (инструмент для тестирования на проникновение),knowledge
http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,systems development life-cycle,жизненный цикл разработки систем,knowledge
http://data.europa.eu/esco/skill/0a099c81-6a0c-4f00-bb3b-990d23ec03a5,manage ICT change request process,управление процессом запросов на изменение ИКТ,skill/competence
http://data.europa.eu/esco/skill/0a30e5a8-60a8-4fda-9f89-8e9cee38da5a,use interface description language,использование языка описания интерфейса,skill/competence
http://data.europa.eu/esco/skill/0a43729f-2a79-4dae-9faa-95520daae79f,apply company policies,применение политики компании,skill/competence
http://data.europa.eu/esco/skill/0a52bed5-fd29-45fb-aba6-e32bccfda1c1,plan migration to cloud,планирование перехода на облачные технологии,skill/competence
http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,Agile project management,гибкое управление проектами,knowledge
http://data.europa.eu/esco/skill/0ab03c6c-281b-48f4-83e0-10eeb27a1bae,network management system tools,инструменты системы управления сетью,knowledge
http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26,use markup languages,использование языков разметки,skill/competence
http://data.europa.eu/esco/skill/0b0335f3-0aa1-491e-895e-81fc8774a300,develop automated migration methods,разработка автоматизированных методов миграции,skill/competence
http://data.europa.eu/esco/skill/0b05cfa0-5f2a-4c74-850f-094d32fd1c1b,load equipment,загрузка оборудования,skill/competence
http://data.europa.eu/esco/skill/0b144726-21c2-46ed-8d13-c03d27f61604,perform multiple tasks at the same time,выполнение нескольких задач одновременно,skill/competence
http://data.europa.eu/esco/skill/0c766ca3-9364-4203-916b-fed16e4814c1,gather data for forensic purposes,собирать данные для судебной экспертизы,skill/competence
http://data.europa.eu/esco/skill/0c77bcd5-b94a-475d-98e9-5a4327e4d726,statistical process control,статистический контроль процессов,knowledge
http://data.europa.eu/esco/skill/0c8f1351-d1fe-4542-89fe-b70729679c52,manage consumables stock,управлять запасами расходных материалов,skill/competence
http://data.europa.eu/esco/skill/0cc9c234-f817-4f4c-908a-4d28fe3b0f4a,coach employees,обучать сотрудников,skill/competence
http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3,Ruby (computer programming),Ruby (компьютерное программирование),knowledge
http://data.europa.eu/esco/skill/0cd6dcf1-5778-42a5-b685-4d01ae4a4871,Common Lisp,Common Lisp,knowledge
http://data.europa.eu/esco/skill/0d168770-4d9c-4096-b048-a6577818d306,Apache Maven,Apache Maven,knowledge
http://data.europa.eu/esco/skill/0d282d6e-8cb9-4339-8e7d-cfafed96b5ed,conduct literature research,проводить литературные исследования,skill/competence
http://data.europa.eu/esco/skill/0d4471ae-3820-4c23-8566-f44a7bd159b2,prepare licence agreements,подготавливать лицензионные соглашения,skill/competence
http://data.europa.eu/esco/skill/0d73ba83-44f0-48c8-8c83-ca8e0e2651fc,load film reels,загружать катушки с пленкой,skill/competence
http://data.europa.eu/esco/skill/0d90f823-6f6a-44df-8ab0-1771300d9660,monitor developments in technology used for design,"следить за развитием технологий, используемых в проектировании",skill/competence
http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127,communicate with customers,общаться с клиентами,skill/competence
http://data.europa.eu/esco/skill/0da6cab1-0ee9-4391-a299-f71fbf21db56,ICT network routing,маршрутизация сетей ИКТ,knowledge
http://data.europa.eu/esco/skill/0daaf096-1639-461c-bf1a-bbeea77e6b67,internal risk management policy,внутренняя политика управления рисками,knowledge
http://data.europa.eu/esco/skill/0dc7aa1b-b5af-4f4b-81ce-ee22ed8b6926,assess ICT knowledge,оценивать знания в области ИКТ,skill/competence
http://data.europa.eu/esco/skill/0dcbf7c5-bedf-4485-b16b-23df54443864,translate requirement concepts into content,переводить концепции требований в содержание,skill/competence
http://data.europa.eu/esco/skill/0de61385-de6d-4146-ba32-1cc1bc102220,Lisp,Lisp,knowledge
http://data.europa.eu/esco/skill/0e0c9c11-b39e-43cf-ba95-2fe646f5de64,identify customer requirements,определять потребности клиентов,skill/competence
http://data.europa.eu/esco/skill/0e1fe34b-f4e7-4642-8c8b-5a05ac3438e5,manage schedule of tasks,управлять графиком задач,skill/competence
http://data.europa.eu/esco/skill/0e361e34-c563-4892-b9d3-873a6a4fef8a,digital game genres,жанры цифровых игр,knowledge
http://data.europa.eu/esco/skill/0e5affa0-705e-4b19-94e8-19e902e0287d,analyse decentralised applications,анализировать децентрализованные приложения,skill/competence
http://data.europa.eu/esco/skill/0e8d16c9-e2db-4862-ac06-1567f01ef806,building systems monitoring technology,технологии мониторинга систем зданий,knowledge
http://data.europa.eu/esco/skill/0ebd8359-48bc-4b28-adb1-450774e5f683,transfer uncut audiovisual material to computer,перенос необработанного аудиовизуального материала на компьютер,skill/competence
http://data.europa.eu/esco/skill/0ee7b0d6-db98-4785-9948-f2ef415d155a,write research proposals,написание исследовательских предложений,skill/competence
http://data.europa.eu/esco/skill/0ee94af1-b445-4973-9c3f-459fab250342,apply conflict management,применение техник управления конфликтами,skill/competence
http://data.europa.eu/esco/skill/0ee94c0a-3716-494a-95a2-dcbab9e58be2,business requirements techniques,бизнес-требования,knowledge
http://data.europa.eu/esco/skill/0f00f63f-3ab4-4057-b92f-500584b51757,Informatica PowerCenter,Informatica PowerCenter,knowledge
http://data.europa.eu/esco/skill/0f9958d2-f700-4f62-b90b-a5873cb5ae4c,systems thinking,системное мышление,knowledge
http://data.europa.eu/esco/skill/0fb753a1-2ef2-4429-84d2-ecb2b24daf7a,Apache Tomcat,Apache Tomcat,knowledge
http://data.europa.eu/esco/skill/0ffdb6ac-03b5-4f1c-bfcc-3d9cb874fdf9,ethical hacking principles,принципы этического хакинга,knowledge
http://data.europa.eu/esco/skill/1019423b-3368-4f83-b24f-19e5fa23e816,software UI design patterns,шаблоны дизайна пользовательского интерфейса программного обеспечения,knowledge
http://data.europa.eu/esco/skill/103f7814-d262-4df6-a1b6-759bc51f76cb,sustainable technologies,устойчивые технологии,knowledge
http://data.europa.eu/esco/skill/10cade4f-df4d-4408-8924-5994976fc798,operate a camera,управлять камерой,skill/competence
http://data.europa.eu/esco/skill/1110c92f-3059-445a-9436-0f4200d365f5,Sass,Sass,knowledge
http://data.europa.eu/esco/skill/11430d93-c835-48ed-8e70-285fa69c9ae6,design cloud architecture,проектировать облачную архитектуру,skill/competence
http://data.europa.eu/esco/skill/114c9698-c999-4369-8498-81bf641fe871,establish an ICT security prevention plan,составить план по предотвращению угроз ИКТ-безопасности,skill/competence
http://data.europa.eu/esco/skill/117373c8-f04b-4fff-8683-aebe36edac81,hardware platforms,аппаратные платформы,knowledge
http://data.europa.eu/esco/skill/11747665-0e98-4f27-bd0d-536862cd5746,identify suppliers,определять поставщиков,skill/competence
http://data.europa.eu/esco/skill/118a9b27-1c5a-4214-b685-1a4d9e6365ea,computer forensics,компьютерная криминалистика,knowledge
http://data.europa.eu/esco/skill/118efbcd-8fc5-4668-81d1-c383a0d16070,handle helpdesk problems,решать проблемы службы поддержки,skill/competence
http://data.europa.eu/esco/skill/11c56452-fcec-4b00-9695-cca4728e5048,marketing analytics,маркетинговая аналитика,knowledge
http://data.europa.eu/esco/skill/11eebd42-44ab-401d-8a2c-bdb9fc9beb50,information security strategy,стратегия информационной безопасности,knowledge
http://data.europa.eu/esco/skill/12154830-df49-42d6-95b3-6f83f29733d5,work with motion picture editing team,работать с командой по монтажу кинофильмов,skill/competence
http://data.europa.eu/esco/skill/12274664-b642-4945-b88f-d7787dc3c9dd,design interaction model,разрабатывать модель взаимодействия,skill/competence
http://data.europa.eu/esco/skill/123cf7c5-6a3b-419d-be4f-49a6cc020f9f,interactive media,интерактивные медиа,knowledge
http://data.europa.eu/esco/skill/130f6043-6bb4-4f14-81b3-b34cdaf6ea1f,manage technical resources stock,управлять запасами технических ресурсов,skill/competence
http://data.europa.eu/esco/skill/13bdd41a-2a18-441f-96db-41252c519413,Visual Basic,Visual Basic,knowledge
http://data.europa.eu/esco/skill/14062e1c-6540-4cb6-b343-ad419e3d10ac,blockchain components,компоненты блокчейна,knowledge
http://data.europa.eu/esco/skill/1423df2a-8d84-4c70-874b-2762eda88694,communicate in air traffic services,общаться в службе воздушного движения,skill/competence
http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,business intelligence,бизнес-аналитика,knowledge
http://data.europa.eu/esco/skill/14ced458-5f4b-495f-bd3d-9c240614bda0,Adobe Photoshop,Adobe Photoshop,knowledge
http://data.europa.eu/esco/skill/14d1e367-3efe-4ec5-86ae-eca48710ee4e,implement ICT security policies,внедрять политику безопасности ИКТ,skill/competence
http://data.europa.eu/esco/skill/14fdac88-6d4a-4e47-9df5-02c6d1e86fdd,IBM InfoSphere DataStage,понимать письменный яванский язык,knowledge
http://data.europa.eu/esco/skill/1557b114-8222-46d5-acff-d2838909c302,provide connected car solutions,предоставление решений для подключенных автомобилей,skill/competence
http://data.europa.eu/esco/skill/156f8c5b-894a-4ccc-a70e-37a2726f3f00,work ergonomically,эргономичная работа,skill/competence
http://data.europa.eu/esco/skill/1585fc98-bfe4-461f-97fc-734055a2c3ce,characteristics of products,характеристики продуктов,knowledge
http://data.europa.eu/esco/skill/15b43942-baaa-4014-9766-e26d5954ccb0,operate the sound in the rehearsal studio,управлять звуком в репетиционной студии,skill/competence
http://data.europa.eu/esco/skill/1605025e-a179-421f-8f35-5b07d182a6b2,web analytics,веб-аналитика,knowledge
http://data.europa.eu/esco/skill/1633770e-5606-4422-b293-6c8c551fe663,understand artistic concepts,понимать художественные концепции,skill/competence
http://data.europa.eu/esco/skill/16977544-891e-44d7-86fd-444eadcf90ef,set up a multi-track recording,настраивать многодорожечную запись,skill/competence
http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce,use e-services,использовать электронные услуги,skill/competence
http://data.europa.eu/esco/skill/16ac3d37-dd72-40c3-863d-dab1ded961be,mix multi-track recordings,смешивать многодорожечные записи,skill/competence
http://data.europa.eu/esco/skill/172020d1-e151-445b-8173-e2a5fb16fe51,utilise computer-aided software engineering tools,использовать компьютерные инструменты программного обеспечения,skill/competence
http://data.europa.eu/esco/skill/1774bd31-8893-44cf-9498-7e3d95508419,screen reader,экранный считыватель,knowledge
http://data.europa.eu/esco/skill/17924c75-45f4-4593-afac-eea0d51f04b5,defence standard procedures,стандартные процедуры обороны,knowledge
http://data.europa.eu/esco/skill/17c9a790-5664-4673-8237-c4cf3c5a8da5,conduct impact evaluation of ICT processes on business,проводить оценку воздействия ИКТ-процессов на бизнес,skill/competence
http://data.europa.eu/esco/skill/1859883d-c047-4fe1-8e74-7bb4385d6ad2,apply 3D imaging techniques,применение технологий 3D-визуализации,skill/competence
http://data.europa.eu/esco/skill/18ab25a5-ce2d-4cd5-b7b0-3890f595f77d,manage alarm system,управлять системой сигнализации,skill/competence
http://data.europa.eu/esco/skill/194c05ed-253c-485a-8bf0-0c8de1aaafda,follow work schedule,следить за графиком работы,skill/competence
http://data.europa.eu/esco/skill/1973c966-f236-40c9-b2d4-5d71a89019be,use spreadsheets software,использовать программное обеспечение для работы с электронными таблицами,skill/competence
http://data.europa.eu/esco/skill/19a8293b-8e95-4de3-983f-77484079c389,Java (computer programming),Java (компьютерное программирование),knowledge
http://data.europa.eu/esco/skill/19c0e68e-6e6c-4698-85dc-ef66a9de2c37,maintain information network hardware,обслуживать аппаратное обеспечение информационной сети,skill/competence
http://data.europa.eu/esco/skill/1a165a9b-2006-49e1-90b8-c0709933b4a3,use a complex communication system,мониторинг гражданских пунктов переработки отходов,skill/competence
http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,creatively use digital technologies,проверка качества продукции,skill/competence
http://data.europa.eu/esco/skill/1b3fc0e0-c6f9-45fc-9c6e-14bbba662979,develop information standards,установка оптических компонентов на рамы,skill/competence
http://data.europa.eu/esco/skill/1b70a55d-b8a4-49fc-96c6-15ab4cff2522,use data processing techniques,аналитическая химия,skill/competence
http://data.europa.eu/esco/skill/1b7c716e-af95-4cda-a42f-6479c8b139f5,MDX,использование методов обработки данных,knowledge
http://data.europa.eu/esco/skill/1bba98a7-92b9-450b-9235-e0c905f8f3c4,information architecture,сравнение производственных прогнозов с фактическими результатами,knowledge
http://data.europa.eu/esco/skill/1c00bc98-2713-4c62-82c5-6d86f2e6a4cb,principles of animation,выполнение сверки топлива,knowledge
http://data.europa.eu/esco/skill/1c08d63d-1c5e-4b9b-ad3e-f7ba7debb2d1,forecast organisational risks,интерпретация медицинских изображений,skill/competence
http://data.europa.eu/esco/skill/1c2978b8-bb0d-4249-9c23-877571a4dffa,cloud security and compliance,принципы анимации,knowledge
http://data.europa.eu/esco/skill/1c685542-aa09-4704-ba87-2b1ffd802e1f,run a projection,типы коррозии,skill/competence
http://data.europa.eu/esco/skill/1ca140f8-d8aa-4e02-8ddc-31cbf75dd7ae,microwave principles,обучать базовым навыкам счета,knowledge
http://data.europa.eu/esco/skill/1cdd0afe-196f-4d8a-924f-4d7473cce3c7,battery management systems,обсуждать варианты лечения зубов с пациентом,knowledge
http://data.europa.eu/esco/skill/1ce4cddd-4a74-458e-a2d4-152ca939475a,OWASP ZAP,предоставлять концессии,knowledge
http://data.europa.eu/esco/skill/1d86f05e-e9cc-40ce-99d8-2b21cc71b16b,solution deployment,принимать клинические решения,knowledge
http://data.europa.eu/esco/skill/1dae8445-12e5-423a-bb26-824010e299b9,ensure compliance with legal requirements,резать плиты,skill/competence
http://data.europa.eu/esco/skill/1dd23dba-dd00-45ab-abf4-642902538317,perform risk analysis,управлять распределением автобусных маршрутов,skill/competence
http://data.europa.eu/esco/skill/1de3942b-99d8-41e8-9ef0-fbc9e9f6307b,Drupal,консультировать клиентов по ювелирным изделиям и часам,knowledge
http://data.europa.eu/esco/skill/1e77e42a-181f-4b48-8e74-201ce50ffc29,interpret current data,поддерживать производство молодняка на стадии выращивания,skill/competence
http://data.europa.eu/esco/skill/1e7ed56a-6d6b-422f-962e-38543d150755,manage changes in ICT system,планировать игровые столы,skill/competence
http://data.europa.eu/esco/skill/1e8751e3-9b7a-4230-a6e5-83bf57fb70b6,safeguard artistic quality of performance,интерпретировать текущие данные,skill/competence
http://data.europa.eu/esco/skill/1f0fbd17-56b7-45cd-b841-e7d9e2a5a14e,identify blockchain innovation opportunities,исследовать новые пищевые ингредиенты,skill/competence
http://data.europa.eu/esco/skill/1f1d2ff8-c4c1-45cc-9812-6a7ee84a73cb,lead a team,соблюдать правила дорожного движения,skill/competence
http://data.europa.eu/esco/skill/1ff53c92-370d-414b-b758-b0a1b8026853,check methods,управлять оборудованием для переработки отходов,knowledge
http://data.europa.eu/esco/skill/1ffac4ac-fda7-407d-8ed1-ca8f4a8dc146,Angular,проверять методы,knowledge
http://data.europa.eu/esco/skill/208b41bd-3b61-4439-b3ca-d39628dd7fe3,compose digital game story,использовать специализированные компьютерные модели для прогнозирования погоды,skill/competence
http://data.europa.eu/esco/skill/209a5498-3449-4689-8ed9-bd08cab4fd78,engineering principles,рассчитывать заработную плату,knowledge
http://data.europa.eu/esco/skill/20a8fe89-d4eb-4698-8521-8881c13377e0,interact professionally in research and professional environments,вести письменные записи о грузах,skill/competence
http://data.europa.eu/esco/skill/20c6a2ec-ef98-4f95-8a16-c8006d9242ba,set up sound equipment,сотрудничать с командой тренеров,skill/competence
http://data.europa.eu/esco/skill/20c920d4-7ff7-4676-ba61-3f04490d9416,keep up with the latest information systems solutions,применять методы обучения Монтессори,skill/competence
http://data.europa.eu/esco/skill/2164e860-7f20-48bc-b98c-5d9f8a561550,design computer network,разрабатывать планы полетов,skill/competence
http://data.europa.eu/esco/skill/2174c1b0-e13c-4850-8e4d-2bc6183018bf,cryptocurrency,проверка консистенции краски,knowledge
http://data.europa.eu/esco/skill/2180bd8c-86de-4889-8165-adac902eee9d,embedded systems,криптовалюта,knowledge
http://data.europa.eu/esco/skill/21c5790c-0930-4d74-b3b0-84caf5af12ea,manage budgets,отчитываться о вылове рыбы,skill/competence
http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,computer programming,адаптироваться к условиям оказания неотложной помощи,knowledge
http://data.europa.eu/esco/skill/21dd999b-c5cc-4cec-8a9f-33f07079c12e,broadcast equipment,рефлексология,knowledge
http://data.europa.eu/esco/skill/21e0cad8-4eef-42be-b18b-0f8e37f0dbd0,product life-cycle,настраивать питающие трубки,knowledge
http://data.europa.eu/esco/skill/21fecc8a-392e-49ce-ac26-fb0696ccfead,create project specifications,использовать стенографические машины,skill/competence
http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae,maintain relationship with customers,работать с рельсошлифовальной машиной,skill/competence
http://data.europa.eu/esco/skill/22b8039c-c890-4610-9228-5527e3b98f12,set quality assurance objectives,руководить командой в сфере рыбного хозяйства,skill/competence
http://data.europa.eu/esco/skill/234aeb8d-56c3-4531-9193-1c5e6a8d16cb,use presentation software,проверять персонал,skill/competence
http://data.europa.eu/esco/skill/23900e3d-06fa-424c-a5dc-c0ea42edde1e,Oracle Warehouse Builder,контролировать охрану природы,knowledge
http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e,monitor developments in field of expertise,наносить схему печати на пластины,skill/competence
http://data.europa.eu/esco/skill/23b45aa6-a479-486d-9e6f-062cbab7c68a,interfacing techniques,обнаруживать отпечатки пальцев,knowledge
http://data.europa.eu/esco/skill/24229e89-9e1d-4c1a-ae23-c64777b152ce,consult with production director,обращаться с химическими веществами,skill/competence
http://data.europa.eu/esco/skill/24310a7b-5db1-4917-a705-4835630227ca,create incident reports,обслуживать сельскохозяйственное оборудование,skill/competence
http://data.europa.eu/esco/skill/2450c3b3-e78e-435b-b84d-e05d984e71dc,software architecture models,работать с традиционным оборудованием для измерения глубины воды,knowledge
http://data.europa.eu/esco/skill/248894d1-42dc-474f-af6e-2da52ac0c679,define technology strategy,координировать лесохозяйственные исследования,skill/competence
http://data.europa.eu/esco/skill/24c200e5-be20-4370-a137-ab53797f3a17,software frameworks,следовать экологически устойчивым методам работы в ветеринарном секторе,knowledge
http://data.europa.eu/esco/skill/24ff9b31-a497-4817-9e9b-c0ff3b3fa0ef,set up portable field transmission equipment,использовать инструменты часовщика,skill/competence
http://data.europa.eu/esco/skill/251b5528-693c-4ef9-a7f6-9924bb8d7ef8,decentralized application frameworks,торговать ювелирными изделиями,knowledge
http://data.europa.eu/esco/skill/2522a6ce-3202-4ac8-9f5b-b9cb5a3a83a1,debug software,подготавливать копыта лошадей,skill/competence
http://data.europa.eu/esco/skill/253b7df4-621a-41d7-b363-ccb2e4d6b178,develop drama production process,обслуживать движущиеся конструкции на сцене,skill/competence
http://data.europa.eu/esco/skill/256df100-51cf-43b2-9a24-7277afa74707,audio post-production,продавать рыбу и морепродукты,knowledge
http://data.europa.eu/esco/skill/25b291b5-8245-4d9d-b391-86a8a31d7109,use concurrent programming,управлять проектами строительства железных дорог,skill/competence
http://data.europa.eu/esco/skill/25df422a-bf0a-4f76-8631-d0be91cb8751,model based system engineering,поддерживать в рабочем состоянии деревянные детали судна,knowledge
http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,data mining,надежное выполнение действий,knowledge
http://data.europa.eu/esco/skill/2618f336-8e71-4666-83b5-f368edb0906d,cognitive psychology,проектировать инкубаторы,knowledge
http://data.europa.eu/esco/skill/2636b3d3-843e-46a9-8b4c-a9d6ca3f5a2d,provide technical documentation,создавать модные доски,skill/competence
http://data.europa.eu/esco/skill/26879b10-1df9-4071-a4c5-cb8e32eddb99,acoustics,планировать инженерные работы,knowledge
http://data.europa.eu/esco/skill/269b8734-fa1d-4c6f-a843-523fa3bbae6e,behavioural science,общаться в сфере специализированного ухода за больными,knowledge
http://data.europa.eu/esco/skill/26baf34d-6721-4bac-b7eb-add0bc566a82,attend to detail in preparation for audits,приветствовать зрителей,skill/competence
http://data.europa.eu/esco/skill/26ed52cf-30ca-451e-9699-a6c04a30649f,solder electronics,химические реакции при обжаривании какао-бобов,skill/competence
http://data.europa.eu/esco/skill/26fa7a33-a426-4cd5-9792-33bf668612e1,LESS,паять электронику,knowledge
http://data.europa.eu/esco/skill/273eb12c-7c34-41d2-afd2-c0222bf853bc,develop an artistic framework,впечатлять дальновидные устремления в управление бизнесом,skill/competence
http://data.europa.eu/esco/skill/27b913f0-3c52-448b-ad27-fc6ef08fb326,Adobe Illustrator,контролировать работу команды по монтажу видео и кинофильмов,knowledge
http://data.europa.eu/esco/skill/27ed854c-15b8-4ba2-90e9-ae888a219703,perform business analysis,создать краудфандинговую кампанию,skill/competence
http://data.europa.eu/esco/skill/282a379e-249d-4cae-81ec-ce901a571801,analyse music score,обслуживание ручных инструментов с режущими кромками,skill/competence
http://data.europa.eu/esco/skill/283cbcd3-7101-4dbb-be37-56f3625515b1,provide ICT consulting advice,инвентаризация фармацевтических препаратов,skill/competence
http://data.europa.eu/esco/skill/2857540c-180b-4208-9127-e94a01871966,align software with system architectures,работать в команде железнодорожного транспорта,skill/competence
http://data.europa.eu/esco/skill/2891f0dc-4426-4a9a-8fbb-db4fb0a66f91,Nessus,обслуживать оборудование для аквакультуры,knowledge
http://data.europa.eu/esco/skill/28a0fe16-4e03-4d5e-8f0e-5198309e77a9,perform forensic preservations of digital devices,чистить домашнее белье,skill/competence
http://data.europa.eu/esco/skill/29154735-107a-4daa-a050-537f7707f34e,conduct content quality assurance,обеспечивать законность деловых операций,skill/competence
http://data.europa.eu/esco/skill/296f6b56-de45-4aac-aa96-43e4a4864724,blockchain architecture,контролировать предложения по политике,knowledge
http://data.europa.eu/esco/skill/29d4aaba-99f9-4733-bd74-ad558f2ae3a7,musical instruments,уход за фермой,knowledge
http://data.europa.eu/esco/skill/29fb0fb5-dfc4-4098-ac9b-3a712000f48f,manage database,заказать строительство декораций,skill/competence
http://data.europa.eu/esco/skill/2a3a96a3-709e-4d60-81f6-d247d6933f13,manage system security,управлять тяжелым оборудованием,skill/competence
http://data.europa.eu/esco/skill/2abea522-a74c-41b5-ab06-2a6e73665782,check film reels,оценивать воздействие личного поведения на окружающую среду,skill/competence
